"Timestamp","Sztori","Színészi alakítás","Sztori","Színészi alakítás","Sztori","Színészi alakítás","Sztori","Színészi alakítás","Sztori","Színészi alakítás","Sztori","Színészi alakítás","Kié?"
"2020/04/10 11:09:14 PM GMT+2","3","4","4","4","4","5","4","4","4","3","7","7","Bazsi filmje"
"2020/04/10 11:25:00 PM GMT+2","7","8","5","5","8","8","7","6","9","8","10","10","Bazsi filmje"
"2020/04/10 11:25:11 PM GMT+2","7","7","10","10","7","9","8","8","9","8","10","10","Bazsi filmje"
"2020/04/10 11:25:17 PM GMT+2","7","10","9","9","10","10","7","7","9","10","10","9","Omar filmje"
"2020/04/10 11:25:22 PM GMT+2","8","8","8","8","8","8","9","8","10","10","10","10","Bazsi filmje"
"2020/04/10 11:25:26 PM GMT+2","4","8","7","7","10","10","8","8","10","10","9","10","Omar filmje"
"2020/04/10 11:29:34 PM GMT+2","10","10","10","9","9","10","8","7","9","9","9","9","Peti filmje"
"2020/04/10 11:29:39 PM GMT+2","7","8","6","7","8","9","8","8","10","10","10","10","Bazsi filmje"
"2020/04/10 11:29:43 PM GMT+2","10","10","6","5","7","7","4","6","8","8","9","8","Bazsi filmje"
"2020/04/10 11:29:43 PM GMT+2","7","7","8","8","10","10","9","9","10","10","10","10","Viktor filmje"
"2020/04/10 11:29:44 PM GMT+2","6","7","7","7","7","8","7","5","7","8","10","10","Viktor filmje"
"2020/04/10 11:29:47 PM GMT+2","6","10","8","8","10","10","8","9","9","9","9","9","Novi filmje"
"2020/04/10 11:29:54 PM GMT+2","6","9","6","7","8","8","7","8","8","10","9","10","Viktor filmje"
"2020/04/10 11:30:00 PM GMT+2","6","8","8","8","8","8","8","7","10","10","10","10","Viktor filmje"
"2020/04/10 11:30:12 PM GMT+2","6","10","8","7","10","8","4","7","10","10","9","8","Omar filmje"
"2020/04/10 11:31:58 PM GMT+2","5","5","5","5","8","8","9","9","10","10","10","10","Viktor filmje"
"2020/04/10 11:32:53 PM GMT+2","3","8","7","8","7","7","10","10","10","10","10","10","Viktor filmje"
"2020/04/10 11:34:31 PM GMT+2","5","6","7","6","5","10","9","6","10","10","10","10","Viktor filmje"
