"Timestamp","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Plakát","Kreténség faktor","Sztori","Színészi alakítás","Kié?"
"2020/05/09 10:10:04 PM GMT+2","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","Omar filmje"
"2020/05/09 10:13:38 PM GMT+2","10","8","7","9","9","9","8","10","6","10","10","10","9","9","10","10","6","9","10","10","10","8","9","8","Bazsi filmje"
"2020/05/09 10:41:46 PM GMT+2","9","3","3","7","5","8","6","8","10","10","7","9","10","10","8","10","2","7","5","6","10","2","10","10","Viktor filmje"
"2020/05/09 10:42:11 PM GMT+2","8","8","7","8","7","6","7","8","6","9","10","7","10","10","10","10","6","7","9","8","8","7","8","8","Bazsi filmje"
"2020/05/09 10:42:42 PM GMT+2","10","8","6","10","9","9","9","10","9","10","10","10","10","9","9","10","8","10","9","10","10","9","10","10","Omar filmje"
"2020/05/09 10:42:42 PM GMT+2","10","6","6","8","7","7","10","8","7","10","8","9","10","10","10","10","5","9","6","6","9","8","9","8","Omar filmje"
"2020/05/09 10:42:46 PM GMT+2","9","5","6","8","6","7","9","8","8","9","7","7","10","8","8","10","5","9","6","6","8","8","8","8","Random filmje"
"2020/05/09 10:43:31 PM GMT+2","10","8","10","10","10","9","9","9","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","Viktor filmje"
"2020/05/09 10:43:36 PM GMT+2","9","6","6","8","4","4","4","10","9","9","10","8","9","9","9","8","7","8","6","6","8","9","10","8","Omar filmje"
"2020/05/09 10:43:38 PM GMT+2","10","7","6","6","8","6","7","8","9","10","8","8","8","9","6","8","10","10","10","10","7","7","7","9","Omar filmje"
"2020/05/09 10:43:39 PM GMT+2","10","10","10","10","6","6","10","10","7","10","7","7","8","7","9","7","6","7","6","7","8","8","10","8","Random filmje"
"2020/05/09 10:43:46 PM GMT+2","10","8","8","9","7","8","8","10","7","9","8","8","10","9","9","9","7","8","8","8","10","9","10","10","Viktor filmje"
"2020/05/09 10:43:46 PM GMT+2","9","9","10","10","8","9","10","10","8","10","10","10","9","9","9","9","10","8","8","9","8","8","8","9","Omar filmje"
"2020/05/09 10:43:48 PM GMT+2","9","8","8","9","7","8","8","10","7","10","9","10","10","10","9","10","7","9","9","9","10","10","10","10","Viktor filmje"
"2020/05/09 10:43:49 PM GMT+2","8","8","8","8","7","9","7","9","8","10","9","10","9","10","10","10","7","9","9","9","10","9","10","10","Omar filmje"
"2020/05/09 10:43:51 PM GMT+2","8","8","8","9","7","8","8","9","7","10","9","10","9","10","10","10","7","9","9","10","10","9","9","10","Bazsi filmje"
"2020/05/09 10:44:08 PM GMT+2","8","4","8","9","2","6","10","10","1","9","5","5","9","3","9","7","1","10","10","3","10","10","10","10","Random filmje"
"2020/05/09 10:44:32 PM GMT+2","9","9","7","8","10","10","10","10","9","8","7","7","10","7","7","9","5","6","6","7","8","8","9","8","Viktor filmje"
"2020/05/09 10:45:07 PM GMT+2","9","6","7","10","8","8","7","9","10","10","10","10","9","8","10","9","7","10","8","9","10","8","10","9","Bazsi filmje"
"2020/05/09 10:47:00 PM GMT+2","9","9","10","10","8","8","7","9","8","10","10","9","10","8","10","9","8","8","8","9","10","7","10","9","Omar filmje"
"2020/05/09 10:49:30 PM GMT+2","8","10","8","8","6","10","7","9","5","10","7","9","10","10","8","10","8","8","8","9","8","10","10","10","Omar filmje"
